Name
A Study in Scarlet (1887)
The Sign of the Four (1890)
The Hound of the Baskervilles (1901–1902)
The Valley of Fear (1914–1915)
The Adventures of Sherlock Holmes (1892)
The Memoirs of Sherlock Holmes (1894)
The Return of Sherlock Holmes (1905)
His Last Bow (1917)
The Case-Book of Sherlock Holmes (1927)
The Adventures of Sherlock Holmes (1892)
"A Scandal in Bohemia" (June 1891)
"The Red-Headed League" (August 1891)
"A Case of Identity" (September 1891)
"The Boscombe Valley Mystery" (October 1891)
"The Five Orange Pips" (November 1891)
"The Man with the Twisted Lip" (December 1891)
"The Adventure of the Blue Carbuncle" (January 1892)
"The Adventure of the Speckled Band" (February 1892)
"The Adventure of the Engineer's Thumb" (March 1892)
"The Adventure of the Noble Bachelor" (April 1892)
"The Adventure of the Beryl Coronet" (May 1892)
"The Adventure of the Copper Beeches" (June 1892)
The Memoirs of Sherlock Holmes (1893–94)
"The Adventure of Silver Blaze" (December 1892)
"The Adventure of the Cardboard Box" (January 1893)
"The Adventure of the Yellow Face" (February 1893)
"The Adventure of the Stockbroker's Clerk" (March 1893)
"The Adventure of the Gloria Scott" (April 1893)
"The Adventure of the Musgrave Ritual" (May 1893)
"The Adventure of the Reigate Squire" (June 1893)
"The Adventure of the Crooked Man" (July 1893)
"The Adventure of the Resident Patient" (August 1893)
"The Adventure of the Greek Interpreter" (September 1893)
"The Adventure of the Naval Treaty" (October–November 1893)
"The Final Problem" (December 1893)
The Return of Sherlock Holmes (1905)
"The Adventure of the Empty House" (October 1903)
"The Adventure of the Norwood Builder" (November 1903)
"The Adventure of the Dancing Men" (December 1903)
"The Adventure of the Solitary Cyclist" (January 1904)
"The Adventure of the Priory School" (February 1904)
"The Adventure of Black Peter" (March 1904)
"The Adventure of Charles Augustus Milverton" (April 1904)
"The Adventure of the Six Napoleons" (May 1904)
"The Adventure of the Three Students" (June 1904)
"The Adventure of the Golden Pince-Nez" (July 1904)
"The Adventure of the Missing Three-Quarter" (August 1904)
"The Adventure of the Abbey Grange" (September 1904)
"The Adventure of the Second Stain" (December 1904)
His Last Bow (1917)
"The Adventure of Wisteria Lodge" (1908)
"The Adventure of the Red Circle" (1911)
"The Adventure of the Bruce-Partington Plans" (1908)
"The Adventure of the Dying Detective" (1913)
"The Disappearance of Lady Frances Carfax" (1911)
"The Adventure of the Devil's Foot" (1910)
"His Last Bow. The War Service of Sherlock Holmes" (1917)
The Case-Book of Sherlock Holmes (1927)
"The Adventure of the Mazarin Stone" (1921)
"The Problem of Thor Bridge" (1922)
"The Adventure of the Creeping Man" (1923)
"The Adventure of the Sussex Vampire" (1924)
"The Adventure of the Three Garridebs" (1924)
"The Adventure of the Illustrious Client" (1924)
"The Adventure of the Three Gables" (1926)
"The Adventure of the Blanched Soldier" (1926)
"The Adventure of the Lion's Mane" (1926)
"The Adventure of the Retired Colourman" (1926)
"The Adventure of the Veiled Lodger" (1927)
"The Adventure of Shoscombe Old Place" (1927)
